                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.42273,                0.50258,                0.81118,                 0.8263,                0.98772,                      1,                  0.995,                 0.9162,                0.98772,                      1,                  0.995,                0.96592,                0.34466,                0.43505,                0.67786,                0.83616,             0.00074282,             0.00074282,             0.00074282
                     59,                0.48056,                0.46247,                0.90315,                0.88087,                0.97898,                0.99954,                  0.995,                0.94639,                0.97898,                0.99954,                  0.995,                0.97902,                0.30132,                0.43394,                0.67775,                0.82767,             0.00072631,             0.00072631,             0.00072631
                     60,                0.33242,                0.31512,                 2.9181,                0.65132,                 0.9582,                0.99637,                  0.995,                0.94748,                 0.9582,                0.99637,                  0.995,                0.97702,                0.28779,                0.43558,                 0.7605,                0.82314,             0.00070981,             0.00070981,             0.00070981
                     61,                0.47688,                0.52852,                0.98234,                0.91768,                0.94342,                0.91981,                  0.995,                0.93509,                0.94342,                0.91981,                  0.995,                0.96392,                0.32755,                0.43671,                 0.8769,                0.83437,             0.00069331,             0.00069331,             0.00069331
                     62,                0.28674,                0.29998,                 2.2335,                0.62883,                0.94541,                0.78887,                  0.995,                0.93799,                0.94541,                0.78887,                  0.995,                0.96178,                 0.3503,                0.43814,                 1.0762,                0.84387,              0.0006768,              0.0006768,              0.0006768
                     63,                0.42681,                    1.4,                0.92318,                0.85661,                0.91702,                0.88951,                  0.995,                0.92962,                0.91702,                0.88951,                  0.995,                0.94372,                0.33383,                0.44011,                0.87093,                0.84261,              0.0006603,              0.0006603,              0.0006603
                     64,                0.65806,                0.67804,                 1.0821,                0.92338,                0.94209,                0.98037,                  0.995,                0.95296,                0.94209,                0.98037,                  0.995,                0.93226,                0.30983,                0.43166,                0.72726,                0.83647,              0.0006438,              0.0006438,              0.0006438
                     65,                0.53233,                0.49834,                0.80153,                0.84637,                0.96896,                 0.9959,                  0.995,                0.96621,                0.96896,                 0.9959,                  0.995,                0.93026,                0.28189,                0.42054,                0.62956,                0.83199,             0.00062729,             0.00062729,             0.00062729
                     66,                0.45723,                0.48885,                0.85184,                0.84876,                0.98472,                      1,                  0.995,                0.93958,                0.98472,                      1,                  0.995,                0.93577,                0.29043,                0.41162,                0.60186,                0.82838,             0.00061079,             0.00061079,             0.00061079
                     67,                0.38472,                0.44899,                0.73809,                0.85458,                0.98474,                      1,                  0.995,                0.94058,                0.98474,                      1,                  0.995,                0.94432,                 0.2972,                 0.4078,                0.60797,                0.82961,             0.00059429,             0.00059429,             0.00059429
                     68,                0.59228,                 1.0106,                0.96186,                 0.8681,                0.97974,                0.99819,                  0.995,                0.96246,                0.97974,                0.99819,                  0.995,                0.94673,                0.29313,                0.41405,                0.60829,                 0.8311,             0.00057778,             0.00057778,             0.00057778
                     69,                0.50754,                0.55943,                0.98638,                 0.9113,                0.97105,                0.99629,                  0.995,                0.96979,                0.97105,                0.99629,                  0.995,                0.95945,                0.27336,                0.41462,                0.59053,                0.83019,             0.00056128,             0.00056128,             0.00056128
                     70,                0.44159,                0.54253,                 1.1419,                0.85431,                0.96122,                0.99525,                  0.995,                0.97595,                0.96122,                0.99525,                  0.995,                0.94887,                0.26329,                0.41368,                0.63881,                 0.8277,             0.00054478,             0.00054478,             0.00054478
                     71,                0.61743,                 1.0253,                0.84097,                 1.0068,                0.95584,                 0.9945,                  0.995,                0.97495,                0.95584,                 0.9945,                  0.995,                0.94356,                0.26173,                0.41932,                0.69218,                 0.8259,             0.00052827,             0.00052827,             0.00052827
                     72,                0.45146,                0.46544,                 0.8233,                0.90498,                 0.9533,                0.99378,                  0.995,                0.97495,                 0.9533,                0.99378,                  0.995,                 0.9589,                0.25012,                0.42829,                0.73096,                0.82429,             0.00051177,             0.00051177,             0.00051177
                     73,                0.34669,                 0.4639,                0.91077,                 0.8558,                0.95117,                0.99322,                  0.995,                0.96357,                0.95117,                0.99322,                  0.995,                0.95183,                0.24894,                 0.4291,                 0.7624,                0.82393,             0.00049527,             0.00049527,             0.00049527
                     74,                 0.3848,                 0.4359,                0.82711,                0.86779,                0.95264,                0.99309,                  0.995,                0.96181,                0.95264,                0.99309,                  0.995,                0.94749,                0.24397,                0.42471,                0.78364,                0.82144,             0.00047876,             0.00047876,             0.00047876
                     75,                0.40886,                0.51475,                0.83973,                0.89822,                0.95531,                0.99389,                  0.995,                0.96686,                0.95531,                0.99389,                  0.995,                0.94372,                0.22498,                 0.4211,                0.74186,                0.81744,             0.00046226,             0.00046226,             0.00046226
                     76,                0.37449,                 0.5025,                0.81594,                0.80608,                 0.9576,                0.99458,                  0.995,                0.98394,                 0.9576,                0.99458,                  0.995,                0.94372,                0.22312,                0.42004,                 0.6934,                0.81418,             0.00044576,             0.00044576,             0.00044576
                     77,                0.49687,                0.67718,                0.74559,                0.81361,                0.96181,                0.99486,                  0.995,                  0.995,                0.96181,                0.99486,                  0.995,                0.93404,                0.21821,                0.42023,                0.63911,                0.81125,             0.00042925,             0.00042925,             0.00042925
                     78,                0.26117,                0.35337,                 1.2932,                0.62811,                0.96497,                0.99543,                  0.995,                0.98394,                0.96497,                0.99543,                  0.995,                0.94709,                0.22774,                0.41933,                 0.5842,                0.81098,             0.00041275,             0.00041275,             0.00041275
                     79,                0.28662,                0.40229,                 2.5605,                0.64715,                 0.9683,                0.99576,                  0.995,                0.97488,                 0.9683,                0.99576,                  0.995,                0.94709,                0.23022,                0.41567,                0.56814,                 0.8116,             0.00039625,             0.00039625,             0.00039625
                     80,                0.34331,                0.41684,                0.68178,                0.81593,                0.96546,                0.99566,                  0.995,                0.96588,                0.96546,                0.99566,                  0.995,                0.94508,                0.23498,                0.40628,                0.57584,                0.81551,             0.00037974,             0.00037974,             0.00037974
                     81,                0.57091,                0.60039,                 1.8622,                0.86063,                0.96437,                0.99539,                  0.995,                0.96996,                0.96437,                0.99539,                  0.995,                0.94572,                0.24431,                0.39841,                0.58172,                0.82139,             0.00036324,             0.00036324,             0.00036324
                     82,                0.79096,                0.64888,                 1.0883,                 0.8916,                0.96255,                0.99515,                  0.995,                0.97902,                0.96255,                0.99515,                  0.995,                0.94708,                0.24993,                0.39441,                0.61246,                0.82505,             0.00034674,             0.00034674,             0.00034674
                     83,                0.35179,                0.49669,                0.62749,                0.78351,                 0.9591,                0.99509,                  0.995,                0.97985,                 0.9591,                0.99509,                  0.995,                0.96792,                0.24666,                0.39139,                0.62656,                0.82518,             0.00033023,             0.00033023,             0.00033023
